Terrain,DeviceType,UseCase,RIS_Used,Satellite_Link,SignalStrength_dBm,Throughput_Mbps,Latency_ms,Energy_Watts,Coverage_km
Urban,User_Equipment,Disaster_Response,1,0,-59.12,0.5,22.41,2.442,5.33
Mountain,User_Equipment,Smart_City,0,0,-92.49,0.5,23.49,2.29,0.1
Rural,IoT_Sensor,Agriculture,0,0,-84.05,1.08,23.86,1.59,5.99
Rural,User_Equipment,Smart_City,0,0,-79.99,4.606,17.96,2.035,4.88
Urban,User_Equipment,Smart_City,1,1,-77.52,11.12,117.55,2.703,88.28
Urban,IoT_Sensor,Disaster_Response,0,1,-66.61,5.861,115.73,1.707,106.58
Urban,UAV_Node,Smart_City,0,1,-73.27,0.5,90.34,4.202,125.06
Mountain,User_Equipment,Disaster_Response,0,0,-104.15,12.016,33.49,3.058,0.1
Rural,UAV_Node,Telemedicine,0,0,-82.44,0.5,14.26,4.12,5.47
Rural,User_Equipment,Telemedicine,0,0,-78.13,0.884,15.48,2.562,7.07
Urban,User_Equipment,Disaster_Response,0,0,-70.69,0.5,21.95,2.246,3.33
Mountain,IoT_Sensor,Telemedicine,1,1,-84.24,13.014,107.42,1.347,130.84
Mountain,UAV_Node,Agriculture,0,0,-86.94,0.5,18.69,4.366,0.1
Urban,UAV_Node,Smart_City,0,0,-63.43,0.5,21.23,4.441,3.22
Urban,IoT_Sensor,Agriculture,0,0,-61.8,0.5,26.3,1.439,7.0
Urban,IoT_Sensor,Smart_City,0,0,-66.29,0.5,11.96,1.524,4.43
Urban,IoT_Sensor,Telemedicine,0,1,-69.62,5.99,108.95,1.348,83.74
Rural,User_Equipment,Agriculture,0,0,-93.01,1.15,13.68,2.875,4.42
Urban,UAV_Node,Telemedicine,1,0,-65.23,4.016,17.53,4.08,4.88
Urban,IoT_Sensor,Smart_City,0,0,-74.22,3.071,28.2,2.144,5.99
Rural,User_Equipment,Disaster_Response,1,0,-68.15,0.5,19.66,2.047,5.58
Urban,IoT_Sensor,Disaster_Response,1,1,-64.88,7.038,104.55,1.327,126.07
Urban,UAV_Node,Agriculture,1,1,-63.38,2.171,89.84,3.913,113.29
Urban,User_Equipment,Telemedicine,0,1,-67.24,0.5,98.04,2.704,88.94
Rural,User_Equipment,Telemedicine,0,1,-84.78,9.129,97.94,2.618,120.04
Rural,IoT_Sensor,Agriculture,0,0,-76.52,0.5,12.53,1.248,3.95
Urban,IoT_Sensor,Disaster_Response,0,0,-73.11,0.5,18.23,1.774,2.28
Rural,IoT_Sensor,Smart_City,1,0,-78.03,7.184,4.51,1.66,2.84
Rural,IoT_Sensor,Agriculture,0,0,-88.71,0.5,15.09,1.235,0.96
Urban,UAV_Node,Smart_City,0,1,-76.6,0.5,92.15,4.417,109.43
Rural,User_Equipment,Disaster_Response,1,0,-82.06,12.426,17.44,2.9,3.8
Urban,UAV_Node,Telemedicine,1,1,-64.19,0.5,92.59,3.85,75.43
Urban,UAV_Node,Disaster_Response,0,0,-72.15,0.5,14.38,4.034,4.86
Mountain,User_Equipment,Agriculture,0,0,-98.46,11.544,39.79,2.897,0.1
Mountain,User_Equipment,Telemedicine,0,0,-102.03,2.387,43.75,2.289,0.1
Mountain,UAV_Node,Agriculture,0,1,-95.42,9.32,103.5,4.195,83.47
Urban,User_Equipment,Agriculture,0,0,-77.52,4.732,7.97,1.949,7.32
Urban,IoT_Sensor,Disaster_Response,0,0,-66.2,0.5,9.58,1.773,6.95
Rural,IoT_Sensor,Agriculture,0,0,-84.59,0.5,15.13,1.042,3.44
Urban,IoT_Sensor,Disaster_Response,0,0,-77.29,0.954,16.48,1.97,5.41
Urban,UAV_Node,Telemedicine,0,0,-71.55,0.5,7.3,3.911,4.08
Rural,User_Equipment,Disaster_Response,0,1,-88.76,8.123,87.04,2.599,82.3
Urban,IoT_Sensor,Telemedicine,0,0,-68.4,0.5,15.44,1.322,8.02
Mountain,User_Equipment,Disaster_Response,1,0,-82.3,16.261,36.81,2.539,0.1
Urban,User_Equipment,Smart_City,1,0,-73.38,13.382,25.95,2.993,6.02
Rural,IoT_Sensor,Smart_City,0,0,-84.42,7.107,14.43,0.896,4.14
Urban,IoT_Sensor,Agriculture,0,1,-70.8,0.827,95.87,1.9,105.14
Rural,User_Equipment,Disaster_Response,0,0,-81.64,0.5,10.73,2.611,4.58
Rural,User_Equipment,Disaster_Response,1,0,-77.93,2.815,19.69,1.994,7.41
Urban,User_Equipment,Telemedicine,1,0,-67.76,4.492,11.52,2.067,1.95
Mountain,User_Equipment,Agriculture,0,1,-96.6,15.39,120.73,3.311,86.71
Rural,UAV_Node,Disaster_Response,1,1,-82.98,21.498,77.14,3.946,104.24
Mountain,User_Equipment,Agriculture,0,0,-89.62,8.062,31.4,2.315,0.1
Mountain,User_Equipment,Smart_City,0,0,-94.89,0.5,38.01,2.851,0.1
Rural,UAV_Node,Disaster_Response,1,0,-69.49,8.007,16.84,4.062,4.15
Mountain,IoT_Sensor,Disaster_Response,1,1,-89.3,12.661,141.93,1.272,57.99
Urban,IoT_Sensor,Agriculture,1,0,-67.54,0.5,23.5,1.375,3.05
Urban,IoT_Sensor,Disaster_Response,1,0,-71.57,5.035,9.96,1.093,6.41
Urban,User_Equipment,Agriculture,0,0,-79.02,9.486,19.05,3.02,2.39
Urban,User_Equipment,Disaster_Response,1,0,-71.92,19.51,2.24,3.009,1.8
Urban,User_Equipment,Telemedicine,0,0,-68.66,0.5,19.19,2.67,3.74
Urban,IoT_Sensor,Agriculture,1,1,-61.46,2.812,91.67,1.465,60.63
Mountain,IoT_Sensor,Disaster_Response,0,0,-102.91,14.126,44.15,2.311,0.1
Urban,IoT_Sensor,Smart_City,1,0,-59.52,2.201,14.5,1.344,4.07
Urban,IoT_Sensor,Disaster_Response,0,0,-72.42,0.5,18.83,1.155,5.09
Rural,User_Equipment,Smart_City,1,1,-78.27,21.109,93.64,2.857,108.4
Urban,IoT_Sensor,Smart_City,0,0,-61.94,0.5,37.39,2.136,5.99
Mountain,IoT_Sensor,Telemedicine,1,1,-84.52,17.747,111.79,1.351,91.95
Urban,UAV_Node,Agriculture,0,0,-71.34,0.5,33.33,3.902,4.18
Mountain,IoT_Sensor,Disaster_Response,0,0,-99.46,11.836,43.14,1.862,0.1
Rural,User_Equipment,Telemedicine,0,0,-95.76,12.074,24.82,2.725,2.75
Urban,User_Equipment,Disaster_Response,0,0,-73.6,0.5,23.69,2.215,7.26
Urban,IoT_Sensor,Smart_City,1,0,-65.06,0.5,23.94,1.647,5.31
Mountain,User_Equipment,Agriculture,0,1,-99.94,9.467,95.72,3.385,66.32
Rural,UAV_Node,Disaster_Response,1,0,-79.66,10.026,12.21,4.059,4.96
Rural,UAV_Node,Disaster_Response,0,0,-84.62,6.203,23.45,3.853,4.79
Rural,IoT_Sensor,Smart_City,0,0,-86.12,5.351,19.51,1.142,7.44
Urban,UAV_Node,Disaster_Response,1,1,-67.25,14.997,80.95,4.177,103.65
Urban,IoT_Sensor,Disaster_Response,1,1,-63.16,4.55,99.48,1.722,86.6
Urban,IoT_Sensor,Smart_City,0,0,-67.79,0.5,37.04,1.653,7.07
Mountain,IoT_Sensor,Telemedicine,0,1,-100.45,9.767,127.47,1.695,66.48
Rural,UAV_Node,Smart_City,1,0,-71.95,2.037,14.38,3.664,6.8
Urban,IoT_Sensor,Telemedicine,0,0,-70.49,0.5,29.51,1.182,8.4
Urban,IoT_Sensor,Agriculture,1,1,-63.91,9.198,96.33,1.734,109.62
Urban,User_Equipment,Telemedicine,1,1,-60.46,1.76,82.96,2.609,95.95
Urban,IoT_Sensor,Telemedicine,1,0,-62.83,0.5,10.76,0.846,2.69
Rural,IoT_Sensor,Agriculture,0,0,-80.23,0.5,35.63,1.987,6.51
Rural,IoT_Sensor,Telemedicine,1,0,-77.56,4.997,17.26,1.572,5.4
Mountain,IoT_Sensor,Smart_City,0,1,-98.06,18.483,112.57,2.29,70.6
